epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71276,1.57659,3.5401,1.29009,0.02932,0.13616,0.03017,0.01451,1.62302,3.66406,1.27465,0.000160714,0.000160714,0.0680179
2,12.1289,1.60892,2.70299,1.26882,0.10916,0.34491,0.11481,0.06096,1.61199,3.56255,1.40519,0.00032414,0.00032414,0.0348479
3,16.814,1.59508,2.41032,1.26455,0.44055,0.20233,0.26879,0.15063,1.58841,2.79919,1.3075,0.000484265,0.000484265,0.00167474
4,21.5908,1.57758,2.23989,1.23153,0.33666,0.3503,0.31485,0.167,1.5728,2.18674,1.24577,0.00048515,0.00048515,0.00048515
5,26.293,1.55491,2.02718,1.21512,0.33556,0.39852,0.34041,0.19106,1.56142,2.0829,1.27213,0.0004802,0.0004802,0.0004802
6,30.8434,1.48616,1.95422,1.2213,0.52739,0.40559,0.42153,0.2329,1.53042,1.96827,1.24791,0.00047525,0.00047525,0.00047525
7,35.4479,1.50033,1.8406,1.19508,0.47984,0.51445,0.49711,0.27378,1.5441,1.79064,1.25051,0.0004703,0.0004703,0.0004703
8,40.091,1.4725,1.81,1.19029,0.59815,0.51083,0.53363,0.29909,1.5507,1.84087,1.25473,0.00046535,0.00046535,0.00046535
9,44.6596,1.45622,1.66893,1.18568,0.61747,0.54484,0.56764,0.31243,1.53837,1.70507,1.25938,0.0004604,0.0004604,0.0004604
10,49.2691,1.45617,1.64095,1.19729,0.63281,0.55029,0.59273,0.32689,1.51403,1.66258,1.24809,0.00045545,0.00045545,0.00045545
11,53.7696,1.47529,1.626,1.17737,0.59787,0.53696,0.57686,0.32365,1.52312,1.65812,1.24315,0.0004505,0.0004505,0.0004505
12,58.1688,1.41986,1.54151,1.16281,0.62687,0.56444,0.61995,0.34528,1.52819,1.57575,1.25038,0.00044555,0.00044555,0.00044555
13,62.7786,1.40927,1.48,1.16076,0.5822,0.62762,0.59002,0.33073,1.50838,1.68486,1.22352,0.0004406,0.0004406,0.0004406
14,67.112,1.40558,1.47521,1.16447,0.68936,0.61708,0.65961,0.37812,1.49663,1.49022,1.2274,0.00043565,0.00043565,0.00043565
15,71.7436,1.41247,1.43456,1.15822,0.70492,0.62757,0.66854,0.37984,1.51808,1.53912,1.23737,0.0004307,0.0004307,0.0004307
16,76.477,1.37091,1.39327,1.14795,0.63334,0.6373,0.65572,0.38239,1.48628,1.53421,1.2327,0.00042575,0.00042575,0.00042575
17,81.1113,1.37908,1.38048,1.14449,0.68582,0.57912,0.62897,0.3622,1.52104,1.49734,1.24083,0.0004208,0.0004208,0.0004208
18,85.8283,1.35186,1.34555,1.14016,0.77018,0.62131,0.70118,0.39808,1.48708,1.45149,1.23058,0.00041585,0.00041585,0.00041585
19,90.2867,1.33481,1.32147,1.13504,0.70872,0.62348,0.67816,0.40062,1.44216,1.46726,1.20613,0.0004109,0.0004109,0.0004109
20,94.9978,1.36025,1.34482,1.12627,0.74298,0.63232,0.69995,0.41241,1.48794,1.42136,1.20899,0.00040595,0.00040595,0.00040595
21,99.4889,1.35233,1.27854,1.11997,0.73167,0.6693,0.71568,0.42763,1.47161,1.36735,1.21382,0.000401,0.000401,0.000401
22,104.303,1.36187,1.27992,1.13631,0.75572,0.59493,0.7022,0.40906,1.47203,1.37895,1.22497,0.00039605,0.00039605,0.00039605
23,108.842,1.33385,1.23497,1.12936,0.72652,0.67115,0.71007,0.41081,1.49869,1.33687,1.22797,0.0003911,0.0003911,0.0003911
24,113.478,1.3347,1.25879,1.12441,0.66698,0.66942,0.69471,0.40515,1.4854,1.36028,1.22362,0.00038615,0.00038615,0.00038615
25,118.246,1.33497,1.21615,1.10555,0.74887,0.62967,0.69296,0.4003,1.48774,1.35952,1.22593,0.0003812,0.0003812,0.0003812
26,122.668,1.29676,1.20587,1.111,0.70568,0.66977,0.70391,0.41026,1.51324,1.32269,1.24374,0.00037625,0.00037625,0.00037625
27,127.081,1.30234,1.19374,1.10535,0.7394,0.6154,0.67183,0.39426,1.49034,1.37916,1.22225,0.0003713,0.0003713,0.0003713
28,131.534,1.30062,1.19123,1.10994,0.80606,0.63612,0.70426,0.41846,1.46079,1.30244,1.2147,0.00036635,0.00036635,0.00036635
29,136.205,1.32907,1.17591,1.11448,0.77985,0.62307,0.70075,0.41141,1.45786,1.27442,1.21058,0.0003614,0.0003614,0.0003614
30,140.895,1.30954,1.15563,1.10994,0.70112,0.66605,0.69467,0.39079,1.46623,1.31891,1.22122,0.00035645,0.00035645,0.00035645
31,145.57,1.26443,1.13836,1.10186,0.76281,0.65248,0.71134,0.41584,1.48448,1.28275,1.23053,0.0003515,0.0003515,0.0003515
32,150.061,1.28857,1.10068,1.09876,0.75221,0.64595,0.73118,0.43561,1.46756,1.27594,1.21899,0.00034655,0.00034655,0.00034655
33,154.823,1.26019,1.10543,1.08739,0.75725,0.67444,0.71254,0.41275,1.49213,1.31764,1.22546,0.0003416,0.0003416,0.0003416
34,159.383,1.26754,1.08728,1.09063,0.77629,0.63495,0.70778,0.39605,1.48472,1.32364,1.25831,0.00033665,0.00033665,0.00033665
35,163.963,1.26667,1.09453,1.1056,0.78803,0.66921,0.73157,0.43617,1.45665,1.25975,1.21278,0.0003317,0.0003317,0.0003317
36,168.804,1.29077,1.08095,1.08721,0.76482,0.70095,0.74252,0.44256,1.45626,1.20218,1.19526,0.00032675,0.00032675,0.00032675
37,173.575,1.26419,1.05658,1.09842,0.71769,0.72183,0.7498,0.44508,1.47137,1.19678,1.2092,0.0003218,0.0003218,0.0003218
38,178.071,1.2251,1.03522,1.08543,0.7505,0.69357,0.74366,0.43963,1.44066,1.24065,1.19751,0.00031685,0.00031685,0.00031685
39,182.522,1.25184,1.06178,1.08917,0.7924,0.67506,0.74427,0.44326,1.48567,1.22833,1.22873,0.0003119,0.0003119,0.0003119
